,Country Code,country,Region,date,land_area,human_capital_index,population,population_density,rural_population,Agricultural_land,forest_area,avg_precipitation,GDP_current_US,expense,military_expenditure,government_expenditure_on_education,government_health_expenditure,research_and_development_expenditure,tax_revenue,trade_in_services,central_goverment_debt,human_capital_index,control_of_corruption_estimate,renewvable_energy_consumption%,electric_power_consumption,Not_getting_Electricity,CO2_emisions,other_greenhouse_emisions,multidimensional_poverty_headcount_ratio%,inflation_annual%,real_interest_rate,risk_premium_on_lending,birth_rate,death_rate,life_expectancy_at_birth,goverment_effectiveness_estimate,doing_business,statistical_performance_indicators,individuals_using_internet,political_stability_estimate,rule_of_law_estimate,gini_index,voice_and_accountability_estimate,intentional_homicides
5481,IND,India,South Asia,01 January 1960,,,445954579.0,,366021680.0,,,,37029883847.0,,742083444.0,,,,,,,,,,,,,,,1.779877847,,,42.506,19.633,45.218,,,,,,,,,
5482,IND,India,South Asia,01 January 1961,2973190.0,,456351876.0,153.4889718,374062506.0,1749520.0,,1083.0,39232435753.0,,813821844.83,,,,,,,,,,,,,,,1.695212939,,,42.294,19.446,45.398,,,,,,,,,
5483,IND,India,South Asia,01 January 1962,2973190.0,,467024193.0,157.0784891,381941726.0,1764820.0,,1083.0,42161481825.0,,1157501504.58,,,,,,,,,,,,,,,3.632214971,,,42.101,19.205,45.659,,,,,,,,,
5484,IND,India,South Asia,01 January 1963,2973190.0,,477933619.0,160.7477554,389969936.0,1761540.0,,1083.0,48421923421.0,,1949130601.37,,,,,,,,,,,,,,,2.946161357,,,41.907,18.964,45.936,,,,,,,,,
5485,IND,India,South Asia,01 January 1964,2973190.0,,489059309.0,164.4897598,398118730.0,1767120.0,,1083.0,56480289896.0,,2157116118.12,,,,,,,,,,,,,,,13.35526115,,,41.721,18.761,46.184,,,,,,,,,
5486,IND,India,South Asia,01 January 1965,2973190.0,,500114346.0,168.2080008,406167866.0,1771770.0,,1083.0,59554854576.0,,2305615522.07,,,,,,,,,,,,,,,9.474758592,,,41.346,19.642,44.98,,,,,,,,,
5487,IND,India,South Asia,01 January 1966,2973190.0,,510992617.0,171.8667885,414021548.0,1775300.0,,1083.0,45865462034.0,,1638484302.35,,,,,,,,,,,,,,,10.80184835,,,40.918,19.342,45.333,,,,,,,,,
5488,IND,India,South Asia,01 January 1967,2973190.0,,521987069.0,175.5646524,421916928.0,1778070.0,,1083.0,50134942161.0,,1616312292.84,,,,,,,,,,,,,,,13.06220248,,,40.592,19.082,45.674,,,,,,,,,
5489,IND,India,South Asia,01 January 1968,2973190.0,,533431909.0,179.4139994,430127486.0,1783640.0,,1083.0,53085455825.0,,1722924877.46,,,,,,,,,,,,,,,3.237412426,,,40.207,17.778,47.471,,,,,,,,,
5490,IND,India,South Asia,01 January 1969,2973190.0,,545314670.0,183.4106364,438640214.0,1777920.0,,1083.0,58447994967.0,,1835743134.78,,,,,,,,,,,,,,,-0.58413661,,,39.792,17.51,47.857,,,,,,,,,
