,Country Code,country,Region,date,land_area,human_capital_index,population,population_density,rural_population,Agricultural_land,forest_area,avg_precipitation,GDP_current_US,expense,military_expenditure,government_expenditure_on_education,government_health_expenditure,research_and_development_expenditure,tax_revenue,trade_in_services,central_goverment_debt,human_capital_index,control_of_corruption_estimate,renewvable_energy_consumption%,electric_power_consumption,Not_getting_Electricity,CO2_emisions,other_greenhouse_emisions,multidimensional_poverty_headcount_ratio%,inflation_annual%,real_interest_rate,risk_premium_on_lending,birth_rate,death_rate,life_expectancy_at_birth,goverment_effectiveness_estimate,doing_business,statistical_performance_indicators,individuals_using_internet,political_stability_estimate,rule_of_law_estimate,gini_index,voice_and_accountability_estimate,intentional_homicides
40,AFG,Afghanistan,South Asia,01 January 2000,652230.0,,19542982.0,29.96332889,15228282.0,377530.0,12084.4,327.0,,,,,,,,,,,-1.271724224,44.99,,18673927.0,1078.12,14205.32527,,,,,49.664,12.096,55.298,-2.173946142,,,,-2.438968897,-1.780660748,,-2.031417131,
45,AFG,Afghanistan,South Asia,01 January 2005,652230.0,,24411191.0,37.42727412,18869118.0,379100.0,12084.4,327.0,6226198935.0,,124029973.34,160013308.46,32948054.8,,,,,,-1.447252393,33.88,,17412583.0,1961.711,16635.76076,,12.68626872,,,45.263,9.941,58.361,-1.217238426,,,298829.13,-2.06750989,-1.662965536,,-1.12542963,
50,AFG,Afghanistan,South Asia,01 January 2010,652230.0,,28189672.0,43.22044677,21498290.0,379110.0,12084.4,327.0,15633843662.0,7951842620.96,304208910.32,543971771.27,73347320.37,,1433584679.21,3213402674.92,,,-1.645391107,15.15,,16152682.0,8576.15,28585.90265,,2.178537524,11.36409374,,40.602,8.254,60.851,-1.480805755,,,1127586.88,-2.579151869,-1.87005806,,-1.404467344,3.48709272
55,AFG,Afghanistan,South Asia,01 January 2015,652230.0,,33753499.0,51.75091455,25381619.0,379100.0,12084.4,327.0,19998143636.0,7403826640.35,198896701.65,651099562.3,104524851.29,,1516935653.89,2055528071.87,,,-1.348587155,17.53,,9619747.0,10057.59,31619.07371,,-0.661709165,12.25254816,,38.803,7.331,62.659,-1.351807714,,,2788039.02,-2.571221828,-1.49849236,,-1.117556691,9.97526212
60,AFG,Afghanistan,South Asia,01 January 2020,652230.0,0.400284141,38972230.0,59.75228064,28829317.0,383560.0,12084.4,327.0,20143451706.0,,273720688.84,576275830.41,238944125.95,,,1804783391.4,,0.400284141,-1.480537772,17.58,,896361.0,8709.47,31119.04539,49.4,,,,36.051,7.113,62.575,-1.585144877,,,7170890.32,-2.705029726,-1.819897532,,-1.077736378,6.594439084
103,ALB,Albania,Europe & Central Asia,01 January 2000,27400.0,,3089027.0,112.7382117,1799636.0,11440.0,7693.0,1485.0,3480355258.0,,43377764.22,119382104.01,96260868.88,,,888599999.97,,,-0.855563641,41.36,1449.647413,17581.0,3186.54,8163.977582,,0.050018136,15.57541161,11.2983565,17.076,5.798,75.404,-0.917780161,,,3524.5,-0.539989591,-1.020667672,,-0.285138667,4.116881082
108,ALB,Albania,Europe & Central Asia,01 January 2005,27400.0,,3011487.0,109.9082847,1604189.0,10770.0,7756.85,1485.0,8052077209.0,,108703442.59,264232934.1,214613444.71,,,2649544825.06,,,-0.813263893,36.77,1722.07285,18939.0,4095.9,9016.941954,,2.366581957,9.455505482,7.553257233,13.235,6.306,76.621,-0.704830587,,,182010.99,-0.505047977,-0.763833165,30.6,0.003671788,5.078093829
113,ALB,Albania,Europe & Central Asia,01 January 2010,27400.0,0.543602943,2913021.0,106.314635,1393502.0,12013.0,7820.7,1485.0,11926926654.0,,185892111.91,407074948.32,283711238.23,,,4589743828.48,,0.543602943,-0.531616509,36.99,1943.343354,10364.0,4785.4,9243.210309,,3.626046956,7.971036596,6.996244738,11.92,7.029,77.936,-0.278687119,,,1310859.45,-0.191482902,-0.385760486,,0.123838224,4.084575425
118,ALB,Albania,Europe & Central Asia,01 January 2015,27400.0,,2880703.0,105.135146,1226200.0,11743.0,7891.87,1485.0,11386853143.0,2783650131.73,132349834.07,391476586.23,311015268.8,,2108365799.62,3915634822.69,9094044008.25,,-0.520959854,38.49,,576.0,4797.0,9408.765344,,1.896174026,7.272492422,5.1375,11.718,7.947,78.644,0.059288189,,,1639120.01,0.34612906,-0.298862904,32.8,0.157161772,2.220309903
123,ALB,Albania,Europe & Central Asia,01 January 2020,27400.0,0.634250939,2837849.0,103.5711314,1075204.0,11655.55,7889.0,1485.0,15162734205.0,3750132903.49,190787833.94,470044745.95,444974039.07,,2575126921.89,3895124077.8,12719637828.33,0.634250939,-0.551931083,44.58,,0.0,4383.2,8304.29494,43.4,1.620886617,5.386769753,5.151666667,10.285,10.785,76.989,-0.124956653,,,2049996.2,0.087552309,-0.349165231,29.4,0.088362463,2.127772012
166,DZA,Algeria,Middle East & North Africa,01 January 2000,2381740.0,,30774621.0,12.92106653,12334776.0,400210.0,15790.0,89.0,54790398813.0,,1881165682.2,,1375692554.17,,,,,,-0.987298191,0.43,689.2367578,418526.0,80046.8,161798.7973,,0.339163189,-10.334378,0.19875,19.543,5.037,70.478,-1.01074934,,,151320.56,-1.432577372,-1.245844364,,-1.110052228,
171,DZA,Algeria,Middle East & North Africa,01 January 2005,2381740.0,,32956690.0,13.83723244,11920435.0,412110.0,17485.0,89.0,103198000000.0,,2924815373.63,,2313359968.81,68151961.26,,7329984943.99,,,-0.466420472,0.58,895.8423919,456675.0,94187.8,190102.764,,1.382446567,-6.997051366,7.248333333,21.166,4.943,72.061,-0.438614607,,,1925969.88,-0.91366601,-0.773644507,,-0.715685964,
176,DZA,Algeria,Middle East & North Africa,01 January 2010,2381740.0,0.531282902,35856344.0,15.05468439,11638969.0,413740.0,19180.0,89.0,161207000000.0,,5671282586.59,,5731749915.28,,,15336921286.78,,0.531282902,-0.552147269,0.26,1020.070535,390510.0,114179.4,210955.5444,,3.911061955,-6.992750804,7.686666667,24.458,4.754,73.808,-0.388126194,,,4482043.0,-1.259367585,-0.816793382,,-1.022330761,0.708382326
181,DZA,Algeria,Middle East & North Africa,01 January 2015,2381741.0,,39543154.0,16.60262556,11527620.0,414564.0,19560.0,89.0,165979000000.0,,10407286389.96,13216853654.21,8161191081.54,,,14485152362.92,,,-0.616887093,0.06,,254581.0,156273.0,261745.2952,,4.784447007,15.45325878,7.5025,25.405,4.437,75.622,-0.377993971,,,15105484.83,-1.090159774,-0.927119017,,-0.847575545,1.380769964
186,DZA,Algeria,Middle East & North Africa,01 January 2020,2381741.0,0.534556448,43451666.0,18.24365706,11413449.0,413588.47,19490.0,89.0,145744000000.0,,9706541257.48,10263871810.94,5765875653.55,,,10426746976.07,,0.534556448,-0.645068347,0.15,,122198.0,161563.0,266702.6795,,2.415130941,13.71518437,5.0,22.431,5.398,74.453,-0.544885635,,,27787338.72,-0.84025383,-0.793100297,,-1.088017702,1.505120655
292,AND,Andorra,Europe & Central Asia,01 January 2000,470.0,,66097.0,140.6319149,5027.0,230.0,160.0,,1429048106.0,,,,55739909.77,,,,,,1.313403845,14.51,,0.0,523.952,588.117968,,,,,11.3,,,1.380486727,,,6965.85,1.166981459,1.286165476,,1.535655499,
297,AND,Andorra,Europe & Central Asia,01 January 2005,470.0,,79826.0,169.8425532,7755.0,218.0,160.0,,3159826892.0,,,51978206.29,113603695.61,,,,,,1.269663095,16.61,,0.0,575.248,662.574159,,,,,10.7,3.6,,1.287201762,,,30019.18,1.384927273,0.966194272,,1.528181553,
302,AND,Andorra,Europe & Central Asia,01 January 2010,470.0,,71519.0,152.1680851,7997.0,197.7,160.0,,3449925739.0,,,102691523.56,202834498.52,,,,,,1.301772714,18.67,,0.0,516.624,627.01459,,,,,9.8,2.8,,1.512511015,,,57930.39,1.278272152,1.197924614,,1.324308395,0.0
307,AND,Andorra,Europe & Central Asia,01 January 2015,470.0,,71746.0,152.6510638,8362.0,188.1,160.0,,2789881259.0,,,91517869.04,141795834.12,,,,,,1.215440273,19.32,,0.0,465.328,579.22902,,,,,,,,1.78248632,,,63064.73,1.39128828,1.570037246,,1.194495201,0.0
312,AND,Andorra,Europe & Central Asia,01 January 2020,470.0,,77700.0,165.3191489,9389.0,187.2,160.0,,2891001149.0,,,,191480701.36,,,2177372912.84,,,1.311400652,21.86,,0.0,448.884399,577.573639,,,,,,,,1.816116333,,,72420.79,1.616035223,1.68827486,,1.089937568,2.574002574
355,AGO,Angola,Sub-Saharan Africa,01 January 2000,1246700.0,,16394062.0,13.14996551,8182768.0,469613.9,777086.1,1010.0,9129594819.0,1992992321.04,583618766.35,238056934.47,101428649.94,,2620502490.56,2966750000.02,,,-1.197514296,73.44,75.27115611,12420327.0,16204.16,57982.70087,,324.9968716,-60.78132704,,47.647,18.287,46.024,-1.075034142,,,17221.23,-2.038173914,-1.601501703,52.0,-1.458064675,
360,AGO,Angola,Sub-Saharan Africa,01 January 2005,1246700.0,,19450959.0,15.60195636,8558422.0,497366.95,749333.05,1010.0,36970901025.0,7699398905.74,1365054746.12,783823782.66,472768417.38,,6325395011.79,6967808434.65,,,-1.323181987,68.38,109.1977007,13722981.0,15811.2,67766.24188,,22.95351385,17.80088859,36.09146407,46.944,14.497,51.57,-1.10631907,,,222395.81,-0.885178328,-1.464794993,,-1.234719396,
365,AGO,Angola,Sub-Saharan Africa,01 January 2010,1246700.0,,23364185.0,18.74082377,9396374.0,525120.0,721580.0,1010.0,81699526881.0,20955255228.46,3413066825.48,2795202222.04,1367728209.25,,13562078333.07,19611241614.08,,,-1.332474947,52.51,206.3842586,15191381.0,22801.5,78893.67568,,14.46965649,-7.353793455,11.72357202,44.97,11.177,56.726,-1.142090201,,,654197.18,-0.226182342,-1.272953272,,-1.120525122,
370,AGO,Angola,Sub-Saharan Africa,01 January 2015,1246700.0,,28127721.0,22.56173979,10281807.0,552873.1,693826.9,1010.0,87219300385.0,18158039287.3,2708531086.73,3041249864.49,1076496060.0,,9595884017.47,18532391170.66,,,-1.409269571,47.84,,16314078.0,31648.9,88673.04141,54.0,9.353839725,21.14418153,9.678042955,42.02,8.826,60.655,-0.893182993,,,6188098.62,-0.500897765,-1.013800979,,-1.177087069,4.458235347
375,AGO,Angola,Sub-Saharan Africa,01 January 2020,1246700.0,0.36240539,33428486.0,26.81357664,11089900.0,569524.9,666073.8,1010.0,50241368244.0,,725567292.07,1213429523.32,615326806.67,,,5669555211.23,,0.36240539,-0.953371167,61.02,,17731992.0,19814.5,70781.0562,,22.27156431,8.028656853,3.158858161,39.271,7.821,62.261,-1.203528404,,,10881021.26,-0.514614642,-0.913334012,,-0.802130938,
418,ATG,Antigua and Barbuda,Latin America & Caribbean,01 January 2000,440.0,,75055.0,170.5795455,50942.0,90.0,94.5,1030.0,826370370.4,,,,22540829.72,,,570578757.81,,,0.861537576,0.0,,1746.0,312.5,584.648482,,0.771779797,10.45584316,5.171553944,19.829,6.587,74.606,0.618822575,,,4865.23,0.713235021,1.034903526,,0.390961945,6.66178136
423,ATG,Antigua and Barbuda,Latin America & Caribbean,01 January 2005,440.0,,79869.0,181.5204545,56533.0,90.0,91.15,1030.0,1022962963.0,,,,28398388.68,,,689964908.87,,,0.742446184,0.0,,6230.0,376.7,749.459707,,2.098751967,6.63621147,4.393938079,15.668,6.015,75.825,0.447335571,,,21564.63,0.830512524,0.659244239,,0.533180177,3.756150697
428,ATG,Antigua and Barbuda,Latin America & Caribbean,01 January 2010,440.0,,85695.0,194.7613636,63210.0,90.0,87.8,1030.0,1148700000.0,,,,36033372.49,,,703164843.29,,,1.301772714,0.0,,1121.0,465.8,1004.970423,,3.370025402,9.387676141,4.749347507,14.715,5.7,76.82,0.487507224,,,40276.65,0.904999375,0.952869892,,0.495849043,7.001575354
433,ATG,Antigua and Barbuda,Latin America & Caribbean,01 January 2015,440.0,,89941.0,204.4113636,67456.0,90.0,84.5,1030.0,1336692593.0,,,37971881.03,42193805.67,,,1376075851.58,,,0.685850799,0.36,,0.0,490.2,1085.816188,,0.968993459,6.617884715,4.840083333,12.591,5.649,77.913,0.225600779,,,62958.7,1.004724503,0.586109579,,0.595008314,
438,ATG,Antigua and Barbuda,Latin America & Caribbean,01 January 2020,440.0,0.5957039,92664.0,210.6,70023.0,90.0,81.2,1030.0,1416348148.0,,,48908201.07,47891871.09,,,856247791.04,,0.5957039,0.271396458,0.74,,0.0,474.6,1203.631334,,0.625989707,5.085410026,,12.16,5.961,78.841,-0.15545781,,,88666.02,0.940669954,0.447086126,,0.745885134,9.712509713
481,ARG,Argentina,Latin America & Caribbean,01 January 2000,2736690.0,,37070774.0,13.54584334,4025145.0,1285100.0,333780.0,591.0,284204000000.0,47839742091.5,3265000000.94,13017423857.25,12786199950.54,1247200839.28,27347824056.82,14079436486.26,,,-0.172407657,9.85,2077.539573,1601282.0,132265.5,294271.3913,,,,,19.366,7.6,73.926,-0.028038694,,,2609294.3,0.095823877,-0.214404494,51.1,0.418346971,
486,ARG,Argentina,Latin America & Caribbean,01 January 2005,2736690.0,,39070501.0,14.27655343,3894938.0,1299209.0,317960.0,591.0,198737000000.0,,1683610003.08,7671267892.85,7777372684.82,836166069.7,26040858191.54,13954943327.85,,,-0.377738357,9.64,2397.486533,1279455.0,145995.4,325978.7317,,,,,18.353,7.423,75.139,-0.100426145,,,6923520.7,-0.041774943,-0.557991087,47.7,0.269231617,5.625727779
491,ARG,Argentina,Latin America & Caribbean,01 January 2010,2736690.0,0.588557065,40788453.0,14.90430155,3732551.0,1262679.0,302140.0,591.0,423627000000.0,,3452043669.87,21264847152.82,23589003087.37,2376716853.02,54448959156.37,27437848030.74,,0.588557065,-0.355230033,8.79,2877.652653,481304.0,167226.3,342496.5143,,,-8.56602872,,17.87,7.661,75.721,-0.111378528,,,18354803.85,-0.084797867,-0.598094225,43.6,0.361670136,5.800469259
496,ARG,Argentina,Latin America & Caribbean,01 January 2015,2736690.0,,43131966.0,15.76063274,3664923.0,1170884.0,290970.0,591.0,594749000000.0,148737168651.49,5056131246.11,34353357486.87,40587891660.64,3703026146.48,73371251660.58,32242053919.9,,,-0.557244956,9.4,,134126.0,185550.0,372415.2067,,,-1.314708785,,17.346,7.543,76.76,-0.016539078,,,29348311.28,0.01478538,-0.731063604,,0.411802024,6.558466154
501,ARG,Argentina,Latin America & Caribbean,01 January 2020,2736690.0,0.602144718,45376763.0,16.58089261,3579773.0,1083817.6,285730.0,591.0,385540000000.0,99677290030.16,2802319280.72,19338878637.95,25509356653.64,,41914119932.95,21509670220.92,,0.602144718,-0.140874103,9.84,,0.0,154535.9,361433.0173,,,-7.631082871,,14.125,8.509,75.892,-0.22428748,,,38803660.47,-0.079213515,-0.473045349,42.3,0.588114679,5.366813844
544,ARM,Armenia,Europe & Central Asia,01 January 2000,28470.0,,3168523.0,111.2933966,1119566.0,13230.0,3326.4,562.0,1911563669.0,,68052142.08,53002501.46,18249357.52,3652233.68,,345668547.63,,,-0.848086238,7.16,1257.052576,34854.0,3561.0,5990.512959,,-0.790883769,33.39846306,,12.51,8.27,70.624,-0.546417594,,,41205.69,-0.682867944,-0.501016259,,-0.374595284,2.87200016
549,ARM,Armenia,Europe & Central Asia,01 January 2005,28470.0,,3047246.0,107.0335792,1098898.0,16050.0,3316.0,562.0,4900469515.0,889260785.74,140738120.94,132902200.15,72449084.28,12624099.17,702514815.18,1008220739.27,,,-0.683349848,6.49,1488.557209,6094.0,4460.9,7316.871064,,0.638928002,14.31614594,13.93380345,13.033,8.914,71.792,-0.139261931,,,160071.33,-0.066335395,-0.388776749,36.0,-0.591363311,1.903357983
554,ARM,Armenia,Europe & Central Asia,01 January 2010,28470.0,,2946293.0,103.4876361,1077165.0,17350.0,3305.6,562.0,9260285762.0,2129621471.33,395011014.38,300866691.07,156155120.91,22353404.26,1580735539.36,2287147226.58,,,-0.69503957,9.36,1685.847266,5893.0,4336.6,7561.591307,41.2,8.176361385,10.60763579,8.614601737,13.898,9.384,73.16,-0.16639477,,,736573.25,0.071855329,-0.48135832,30.0,-0.847521544,1.900693516
559,ARM,Armenia,Europe & Central Asia,01 January 2015,28470.0,,2878595.0,101.1097647,1062633.0,16767.0,3295.2,562.0,10553337528.0,2646564017.07,447379805.77,296117164.64,169930726.3,26385454.17,2208942382.92,3122694837.91,,,-0.584427893,10.74,,0.0,5343.4,9155.78308,29.1,3.731691193,16.18000967,4.694542818,14.641,9.607,74.436,-0.276716083,,,1701273.65,-0.252332628,-0.445906013,32.4,-0.536284149,2.605438175
564,ARM,Armenia,Europe & Central Asia,01 January 2020,28470.0,0.578998804,2805608.0,98.54611872,1029293.0,16760.0,3284.7,562.0,12641698594.0,3360326283.55,629902461.67,342042661.27,297943118.69,26447696.74,2763528316.76,2080636649.45,8014990380.08,0.578998804,0.020228101,8.38,,0.0,6746.6,10422.04117,19.1,1.211435778,9.63911034,5.797729686,12.455,12.792,72.173,-0.274477035,,,2146506.17,-0.760855317,-0.104187101,25.1,0.049051914,1.85343037
670,AUS,Australia,East Asia & Pacific,01 January 2000,7682300.0,,19028802.0,2.476966794,2999891.0,4554690.0,1318141.0,534.0,415845000000.0,100000372866.47,7609306103.11,20323634385.94,22702162793.39,6546398199.09,95819063159.88,39288818828.32,122864437300.65,,1.862088323,8.42,10260.44624,0.0,339422.8,606860.8124,,4.457435148,5.027558338,1.740582488,13.0,6.7,79.23414634,1.732170224,,,8897128.66,1.333964705,1.722066879,,1.471305132,1.903463583
675,AUS,Australia,East Asia & Pacific,01 January 2005,7682300.0,,20176844.0,2.626406675,3110866.0,4102300.0,1306801.0,534.0,695305000000.0,177780032977.77,12532821728.67,34059654437.33,39829448760.28,,172215644455.04,61562179058.39,155877300746.23,,1.942667723,6.71,10571.42534,0.0,368801.9,571056.9014,,2.691831683,3.307482872,,12.8,6.4,80.84146341,1.745689988,,,12711411.72,0.891707659,1.71280241,,1.507055759,1.283975116
